Best Scored,lat,lon,amenity,name,distance
0,49.2612322,-123.0737544,bicycle_rental,Woodland & 10th,715.9529843055246
1,49.2467974,-123.068237,fast_food,Subway,946.0943548909294
2,49.2500768,-123.0754182,bank,CIBC,632.1502702323439
3,49.2599103,-123.077906,fuel,Shell,745.4662829583236
4,49.259793,-123.0771442,fuel,Super Save Gas,696.1418492987061
5,49.2626077,-123.0779167,fuel,Petro-Canada,986.6151752314937
6,49.2466625,-123.0687676,bank,Moneymart,950.7455197476719
7,49.2599379,-123.0700275,restaurant,Naruto Sushi,558.3687921239167
8,49.261412,-123.0701593,bicycle_rental,10th & Commercial,718.4506467369112
9,49.2632295,-123.0704772,bicycle_rental,8th & Commercial,916.8109320343157
10,49.25002,-123.0763241,cafe,Pallet Coffee Roasters,675.3579495948071
11,49.2535053,-123.0826128,bank,Sharons,892.5706922994076
12,49.2505192,-123.0764488,cafe,Falafel Cafe,636.5489485581837
13,49.2507344,-123.0768216,restaurant,Sun Bo Kong Vegetarian Restaurant,636.9720752948517
14,49.2511829,-123.0784268,restaurant,Grace of India,694.958808844524
15,49.2510662,-123.0786825,fast_food,Domino's,718.7137197044018
16,49.2511789,-123.0789198,restaurant,Hai Phong Vietnamese Restaurant,726.0791925806898
17,49.2516531,-123.0796219,restaurant,Hoy's Wonton House,743.3842332553037
18,49.2473186,-123.0694396,restaurant,Jarrito Loco Tacos,868.8717891780394
19,49.2472767,-123.0693382,restaurant,My Chau Restaurant,874.8842846700142
20,49.249366,-123.0763485,restaurant,J.R Taste Of Ceylon,737.2712503189081
21,49.2496541,-123.0763345,restaurant,Knight Street Cafe,709.6057155212968
22,49.2493186,-123.0736284,restaurant,Pink Peppercorn Seafood House,656.4021265819437
23,49.2493978,-123.0739174,restaurant,Icy Bar,654.3544045513491
24,49.2616326,-123.0700247,restaurant,Commercial Sushi,744.210926423255
25,49.2616851,-123.0700316,fast_food,Subway,749.9106874139887
26,49.2615903,-123.0700291,pharmacy,Maggie's Pharmacy,739.507103591626
27,49.2614836,-123.0696102,clinic,Health Care Medical Center,733.3110125571895
28,49.2625624,-123.0695251,cafe,Blenz Coffee,852.4903687315193
29,49.2625523,-123.0693702,fast_food,A&W,853.5533140343691
30,49.2628756,-123.0695249,fast_food,Booster Juice,886.820589820485
31,49.2626734,-123.0693702,restaurant,Neptune Express,866.7877919818291
32,49.2627967,-123.0693624,fast_food,Megabite Pizza,880.3800886275072
33,49.2625083,-123.0699403,bank,Scotiabank,841.5498724251883
34,49.2531282,-123.0831059,restaurant,Dai Tung,938.9156431571038
35,49.2509254,-123.077162,restaurant,Dosa Factory,639.7381615710884
36,49.2602981,-123.0700119,restaurant,Jamaican Pizza Jerk,597.9442537807937
37,49.2598808,-123.0700269,restaurant,Varadero Cafe,552.1484105117602
38,49.2519331,-123.0803514,restaurant,Kingsway Deli,779.0643752173911
39,49.2534133,-123.0820889,restaurant,Ken's Kitchen,854.4331722063544
40,49.2615373,-123.0696114,restaurant,Daddy's Kitchen,739.1555476045371
41,49.2621894,-123.0741944,fast_food,The Pizza King,827.6783748117426
42,49.2591196,-123.0693498,restaurant,Gojo Little Africa Cafe,484.27224193288873
43,49.2624776,-123.0702461,fast_food,Uncle Fatih's,835.247384130497
44,49.2621542,-123.0700558,bank,BMO,801.3226695114256
45,49.2621263,-123.0694756,bank,CIBC,805.4780625538043
46,49.2620177,-123.0695561,pharmacy,Alberto Pharmacy,792.4485955511728
47,49.2617463,-123.0696025,fast_food,McDonald's,762.1162367940594
48,49.2616597,-123.0696079,fast_food,Quiznos,752.575281866405
49,49.2615906,-123.0696065,fast_food,Fresh Slice,745.0480559929144
50,49.2620273,-123.0700397,cafe,Starbucks,787.5051843883541
51,49.2637854,-123.0695196,pub,St Augustine's,986.7969490643924
52,49.2493758,-123.0750259,bank,TD Canada Trust,687.6564261636254
53,49.2592978,-123.0704729,cafe,Circus Play Cafe,482.2615346382784
54,49.2565028,-123.0754794,bicycle_rental,15th & Knight,359.587565921245
55,49.2519721,-123.0800661,restaurant,Bean Banh Mi,757.1415322665334
56,49.2524627,-123.0803046,clinic,South Hill Family Health Centre,751.670171076067
57,49.2567901,-123.0656984,bicycle_rental,15th & Victoria,487.794155106871
58,49.2513484,-123.0777934,pub,Cedar Cottage Pub,644.7288916765262
59,49.2589012,-123.0699849,cafe,Bakery Sate,446.60685554925266
60,49.2480896,-123.0711405,restaurant,Phở Thái Hóa,769.7808185931647
61,49.2539218,-123.0677981,cafe,Chance Cafe,306.5330922212815
62,49.2525689,-123.0681922,cafe,Commercial Street Cafe,369.58100019305965
63,49.2488249,-123.0766671,restaurant,De Dutch Pannekoek House,801.6270134825586
64,49.2477738,-123.0704292,pharmacy,Kingsway Pharmacy,808.201091185446
65,49.252902399999996,-123.0822591,restaurant,Green Lemongrass,880.8365349213843
66,49.2496643,-123.0758136,doctors,LOTUS Medical,687.3288432061557
67,49.2609647,-123.0699741,cafe,Kyle's Cafe,671.4548232479622
68,49.2611644,-123.0659828,bicycle_rental,Victoria & 10th,804.8351472179636
69,49.2597668,-123.0700258,restaurant,Bandidas Taqueria,539.7368988229695
70,49.2601564,-123.0700115,restaurant,Toby's Pub & Grill,582.4625420865486
71,49.2580237,-123.0833488,bicycle_rental,Windsor & 14th,992.6072057992416
72,49.2624801,-123.0707119,restaurant,Hon's Wonton House,832.3781762243838
73,49.2612427,-123.0684144,pharmacy,Shoppers Simply Pharmacy,731.3109973324083
74,49.2501322,-123.0765148,restaurant,Do Chay,673.8867247250931
75,49.2492671,-123.0744974,restaurant,Ashiana Tandoori,682.9633650195827
76,49.2505553,-123.0773106,restaurant,Po Kong,677.4543295918762
77,49.2624804,-123.0703786,clinic,Robert and Lily Lee Family Community Health Center,834.5015891626956
78,49.2621886,-123.0707974,restaurant,Broadway Station Sushi,799.6135470490292
79,49.2470038,-123.0695588,restaurant,Shiok Singaporean Cuisine,901.813363208309
80,49.2504077,-123.0762609,restaurant,House of Dosas,637.4530501853794
